Sr No,Symbol,Security Name,Market Cap (INR)              
148,FEDERALBNK,FEDERAL BANK LTD         ,170472796122.90
149,GODREJPROP,GODREJ PROPERTIES LTD    ,170133941350.80
150,GODREJIND,GODREJ INDUSTRIES LTD    ,169300513512.90
151,INDHOTEL,THE INDIAN HOTELS CO. LTD,168631648596.90
152,JUBLFOOD,JUBILANT FOODWORKS LTD   ,166076438388.00
153,LTTS,L&T TECHNOLOGY SER. LTD. ,164818501154.25
154,ABFRL,ADITYA BIRLA FASHION & RT,161679151014.50
155,OBEROIRLTY,OBEROI REALTY LIMITED    ,161675734682.05
156,ENDURANCE,ENDURANCE TECHNO. LTD.   ,161473916361.60
157,CASTROLIND,CASTROL INDIA LIMITED    ,156924266221.60
158,BALKRISIND,BALKRISHNA IND. LTD      ,156702914214.00
159,SUNDARMFIN,SUNDARAM FINANCE LTD     ,156006485019.00
160,GRUH,GRUH FINANCE LTD.        ,152842997689.20
161,AIAENG,AIA ENGINEERING LIMITED  ,151591698664.00
162,PNBHOUSING,PNB HOUSING FIN LTD.     ,151128487831.70
163,ADANIENT,ADANI ENTERPRISES LIMITED,150838952883.45
164,VBL,VARUN BEVERAGES LIMITED  ,149894240158.00
165,SANOFI,SANOFI INDIA LIMITED     ,148884910512.30
166,MINDTREE,MINDTREE LIMITED         ,146815563356.05
167,BATAINDIA,BATA INDIA LTD           ,143770906244.00
168,EDELWEISS,EDELWEISS FIN SERV LTD   ,143572903755.45
169,RAMCOCEM,THE RAMCO CEMENTS LIMITED,141510971746.00
170,TATACOMM,TATA COMMUNICATIONS LTD  ,141345750000.00
171,CUB,CITY UNION BANK LTD      ,139790598450.00
172,PFIZER,PFIZER LTD               ,138942724243.80
173,IIFL,IIFL HOLDINGS LIMITED    ,137141268241.60
174,ASTRAL,ASTRAL POLY TECH LTD     ,135525186328.00
175,CROMPTON,CROMPT GREA CON ELEC LTD ,134106144986.00
176,BHARATFIN,BHARAT FIN INCLUSION LTD ,132617544226.80
177,AARTIIND,AARTI INDUSTRIES LTD     ,132165345000.00
178,COROMANDEL,COROMANDEL INTERNTL. LTD ,131542351978.65
179,JINDALSTEL,JINDAL STEEL & POWER LTD ,130769555802.90
180,THERMAX,THERMAX LTD              ,130541684465.00
181,TATAGLOBAL,TATA GLOBAL BEVERAGES LTD,128624238770.20
182,NATCOPHARM,NATCO PHARMA LTD.        ,127852951326.00
183,AMARAJABAT,AMARA RAJA BATTERIES LTD.,127246771875.00
184,SUPREMEIND,SUPREME INDUSTRIES LTD   ,126328222215.00
185,MRPL,MRPL                     ,118913827019.45
186,CRISIL,CRISIL LTD               ,118893683994.30
187,TORNTPOWER,TORRENT POWER LTD        ,118856530683.20
188,WABCOINDIA,WABCO INDIA LIMITED      ,118137700185.60
189,PIIND,PI INDUSTRIES LTD        ,117671129977.50
190,TRENT,TRENT LTD                ,117656738256.50
191,APOLLOTYRE,APOLLO TYRES LTD         ,116898413413.00
192,SYNGENE,SYNGENE INTERNATIONAL LTD,115640000000.00
193,SRF,SRF LTD                  ,115613403675.00
194,EIHOTEL,EIH LIMITED              ,115371286215.90
195,NATIONALUM,NATIONAL ALUMINIUM CO LTD,115202561486.40
196,SHRIRAMCIT,SHRIRAM CITYUNI FIN.LTD. ,113064023547.90
197,JUBILANT,JUBILANT LIFE SCIENCE LTD,112046317229.55
198,APLLTD,ALEMBIC PHARMA LTD       ,111912472346.10
199,SUNDRMFAST,SUNDRAM FASTENERS LTD    ,110926766523.00
200,GRAPHITE,GRAPHITE INDIA LTD       ,110494667186.70
201,JSWENERGY,JSW ENERGY LIMITED       ,109691993177.20
202,INDIANB,INDIAN BANK              ,108257738135.40
203,MFSL,MAX FINANCIAL SERV LTD   ,106869725686.55
204,NBCC,NBCC (INDIA) LIMITED     ,105660000000.00
205,ATUL,ATUL LTD                 ,102813498924.60
206,FORTIS,FORTIS HEALTHCARE LTD    ,102015423369.60
207,HEXAWARE,HEXAWARE TECHNOLOGIES LTD,101875874831.40
208,ADANIGAS,ADANI GAS LIMITED        ,101677442173.35
209,HATSUN,HATSUN AGRO PRODUCT LTD. ,101032147432.65
210,GSPL,GUJARAT STATE PETRO LTD  ,99284285144.10
211,STRTECH,STERLITE TECHNOLOGIES LTD,99175700702.70
212,SKFINDIA,SKF INDIA LTD            ,98571455858.15
213,NLCINDIA,NLC INDIA LIMITED        ,98363378277.45
214,IPCALAB,IPCA LABORATORIES LTD    ,97221630270.05
215,UNIONBANK,UNION BANK OF INDIA      ,96699447277.75
216,HEG,HEG LTD                  ,95624224763.10
217,GODREJAGRO,GODREJ AGROVET LIMITED   ,95438283283.00
218,SJVN,SJVN LTD                 ,95101043235.00
219,GUJFLUORO,GUJARAT FLUOROCHEMICALS L,94806042500.00
220,CENTRALBK,CENTRAL BANK OF INDIA    ,92445176847.50
221,MOTILALOFS,MOTILAL OSWAL FIN LTD    ,92411030034.40
222,PHOENIXLTD,THE PHOENIX MILLS LTD    ,92389964142.90
223,KIOCL,KIOCL LIMITED            ,92099678070.00
224,ITI,ITI LTD                  ,91987350000.00
225,CESC,CESC LTD                 ,91981332137.70
226,GMRINFRA,GMR INFRASTRUCTURE LTD.  ,91746368180.00
227,QUESS,QUESS CORP LIMITED       ,91704753915.75
228,SOLARINDS,SOLAR INDUSTRIES (I) LTD ,91236597953.75
229,MGL,MAHANAGAR GAS LTD.       ,90870616871.10
230,LALPATHLAB,DR. LAL PATH LABS LTD.   ,89896427626.50
231,AJANTPHARM,AJANTA PHARMA LIMITED    ,89840674950.00
232,MAHINDCIE,MAHINDRA CIE AUTO LTD    ,89202909486.00
233,TTKPRESTIG,TTK PRESTIGE LTD         ,88696806283.40
234,CENTURYTEX,CENTURY TEXTILES LTD     ,88641691648.00
235,RELAXO,RELAXO FOOT LTD.         ,88415461143.00
236,GUJGASLTD,GUJARAT GAS LIMITED      ,87804160443.75
237,SCHAEFFLER,SCHAEFFLER INDIA LIMITED ,87525653680.50
238,VARROC,VARROC ENGINEERING LTD.  ,87364612016.50
239,ERIS,ERIS LIFESCIENCES LIMITED,86278556042.80
240,IOB,INDIAN OVERSEAS BANK     ,85813796905.20
241,KAJARIACER,KAJARIA CERAMICS LTD     ,85523208915.00
242,BBTC,BOMBAY BURMAH TRADING COR,84092582475.00
243,VGUARD,V-GUARD IND LTD.         ,83917849535.10
244,HUDCO,HSG & URBAN DEV CORPN LTD,83879610000.00
245,RNAM,RELIANCE NIPPON L A M LTD,83415600000.00
246,TIFIN,TI FINANCIAL HOLDING LTD ,83389537589.40
247,FLFL,FUT LIFESTYLE FASH LTD   ,83001465261.00
248,THOMASCOOK,THOMAS COOK (INDIA) LTD  ,82511015785.80
249,AKZOINDIA,AKZO NOBEL INDIA LIMITED ,82115153592.90
250,SYMPHONY,SYMPHONY LIMITED         ,81237566250.00
251,VINATIORGA,VINATI ORGANICS LTD      ,81133580718.75
252,ESCORTS,ESCORTS INDIA LTD        ,80851708728.80
253,NIITTECH,NIIT TECHNOLOGIES LTD    ,80762351470.50
254,FCONSUMER,FUTURE CONSUMER LIMITED  ,79609184229.00
255,KRBL,KRBL LIMITED             ,78573145949.60
256,ASTERDM,ASTER DM HEALTHCARE LTD. ,78310238475.00
257,MANAPPURAM,MANAPPURAM FINANCE LTD   ,77707068815.40
258,BLUEDART,BLUE DART EXPRESS LTD    ,75664822335.90
259,UCOBANK,UCO BANK                 ,75345425534.40
260,GET&D,GE T&D INDIA LIMITED     ,75175262676.00
261,PVR,PVR LIMITED              ,75031792245.80
262,PRESTIGE,PRESTIGE ESTATE LTD      ,74962500000.00
263,RPOWER,RELIANCE POWER LTD.      ,74335851349.00
264,MINDAIND,MINDA INDUSTRIES LTD.    ,73381417655.25
265,CHAMBLFERT,CHAMBAL FERTILIZERS LTD  ,73273392344.60
266,ENGINERSIN,ENGINEERS INDIA LTD      ,71153225892.00
267,RELINFRA,RELIANCE INFRASTRUCTU LTD,70731160500.00
268,KARURVYSYA,KARUR VYSYA BANK LTD     ,70284440571.90
269,CYIENT,CYIENT LIMITED           ,68897308289.00
270,VIPIND,VIP INDUSTRIES LTD       ,67818179468.50
271,JYOTHYLAB,JYOTHY LABS LTD          ,67548030063.80
272,AAVAS,AAVAS FINANCIERS LIMITED ,66692431268.85
273,ISEC,ICICI SECURITIES LIMITED ,66473877890.00
274,CORPBANK,CORPORATION BANK         ,66406421435.60
275,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,66064367819.55
276,ALBK,ALLAHABAD BANK           ,65196270856.50
277,JMFINANCIL,JM FINANCIAL LIMITED     ,64960453694.50
278,TIINDIA,TUBE INVEST OF INDIA LTD ,64770560765.40
279,FINPIPE,FINOLEX INDUSTRIES LTD   ,63741592450.65
280,FINCABLES,FINOLEX CABLES LTD       ,63500416044.00
281,AEGISCHEM,AEGIS LOGISTICS LIMITED  ,63426600000.00
282,IDFC,IDFC LIMITED             ,63215789313.60
283,SFL,SHEELA FOAM LIMITED      ,63012753093.60
284,KEC,KEC INTL. LIMITED        ,62973796231.50
285,DELTACORP,DELTA CORP LIMITED       ,62559627147.40
286,ASAHIINDIA,ASAHI INDIA GLASS LIMITED,62012241398.10
287,VTL,VARDHMAN TEXTILES LIMITED,61884673288.20
288,ORIENTBANK,ORIENTAL BANK OF COMMERCE,60555852142.50
289,WELSPUNIND,WELSPUN INDIA LTD        ,60484454030.00
290,SUNCLAYLTD,SUNDARAM CLAYTON LIMITED ,60087269241.50
291,GRINDWELL,GRINDWELL NORTON LIMITED ,60010240000.00
292,SYNDIBANK,SYNDICATE BANK           ,59075839863.00
293,LAXMIMACH,LAKSHMI MACHINES LTD     ,58896241728.80
294,BASF,BASF INDIA LTD           ,58552485228.00
295,VIJAYABANK,VIJAYA BANK              ,57382510460.00
296,BLUESTARCO,BLUE STAR LIMITED        ,57345288915.20
297,SIS,SECURITY INTELL SERVICES ,56623042991.55
298,CREDITACC,CREDITACCESS GRAMEEN LTD ,56583400296.80
299,KALPATPOWR,KALPATARU POWER TRANS. LT,56435124617.50
300,COFFEEDAY,COFFEE DAY ENTERPRISE LTD,56330270871.35
301,TV18BRDCST,TV18 BROADCAST LIMITED   ,55888141248.60
302,ADANIGREEN,ADANI GREEN ENERGY LTD   ,55678908368.00
303,LEMONTREE,LEMON TREE HOTELS LTD    ,55378027833.60
304,DCBBANK,DCB BANK LIMITED         ,55097134239.70
305,MERCK,MERCK LIMITED            ,54861787479.10
306,JKCEMENT,JK CEMENT LIMITED        ,54767736308.80
307,RADICO,RADICO KHAITAN LTD       ,54609321107.25
308,DCMSHRIRAM,DCM SHRIRAM LIMITED      ,54506855577.20
309,TATAELXSI,TATA ELXSI LIMITED       ,54429608560.00
310,BAJAJCON,BAJAJ CONSUMER CARE LTD  ,52229750000.00
311,GEPIL,GE POWER INDIA LIMITED   ,51889523491.35
312,GNFC,GUJ NAR VAL FER & CHEM L ,51047299276.35
313,IRB,IRB INFRA DEV LTD.       ,50872387500.00
314,ZENSARTECH,ZENSAR TECHNOLOGIES  LTD ,50565992242.00
315,SUNTECK,SUNTECK REALTY LIMITED   ,50347120647.95
316,ZYDUSWELL,ZYDUS WELLNESS LIMITED   ,49762212550.40
317,VSTIND,VST INDUSTRIES LTD       ,49634963456.00
318,COCHINSHIP,COCHIN SHIPYARD LIMITED  ,49473907200.00
319,HSCL,HIMADRI SPECIALITY CHEM L,49142003979.15
320,JCHAC,JOHNSON CONTROLS HITACHI ,49025163852.00
321,RELCAPITAL,RELIANCE CAPITAL LTD     ,49012891542.90
322,WOCKPHARMA,WOCKHARDT LIMITED        ,48862424314.35
323,RITES,RITES LIMITED            ,48750000000.00
324,AVANTIFEED,AVANTI FEEDS LIMITED     ,48598816221.00
325,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,48317949856.00
326,PERSISTENT,PERSISTENT SYSTEMS LTD   ,48168000000.00
327,IEX,INDIAN ENERGY EXC LTD    ,48131526288.00
328,NCC,NCC LIMITED              ,47781436075.40
329,BDL,BHARAT DYNAMICS LIMITED  ,47295726562.50
330,TATAINVEST,TATA INVESTMENT CORP LTD ,47062401843.20
